nimi,lukumaara,sukupuoli
Maria,199656,N
Helena,123632,N
Anneli,121314,N
Johanna,112331,N
Kaarina,97318,N
Marjatta,87079,N
Hannele,86322,N
Kristiina,75131,N
Emilia,68454,N
Liisa,67254,N
Elina,64294,N
Sofia,60502,N
Tuulikki,58570,N
Maarit,57584,N
Susanna,56869,N
Annikki,55757,N
Leena,48387,N
Katariina,48011,N
Anna,46317,N
Marja,44314,N
Sinikka,43097,N
Inkeri,41090,N
Riitta,38764,N
Aino,36244,N
Kyllikki,35138,N
Anne,35000,N
Tuula,34828,N
Päivi,33689,N
Orvokki,32267,N
Ritva,31717,N
Maija,31424,N
Tellervo,31136,N
Karoliina,30556,N
Pauliina,29961,N
Pirjo,29778,N
Minna,29620,N
Sari,29332,N
Irmeli,28727,N
Tiina,27546,N
Eveliina,27491,N
Eeva,27269,N
Laura,26827,N
Marika,26548,N
Tarja,26127,N
Elisabet,26099,N
Satu,25022,N
Pirkko,24943,N
Mari,24424,N
Hanna,24212,N
Heidi,23814,N
Seija,23483,N
Annika,23475,N
Marita,23458,N
Anja,23424,N
Sirpa,23177,N
Jaana,22900,N
Ilona,22849,N
Irene,22531,N
Raija,22516,N
Sanna,22496,N
Amanda,22265,N
Sisko,22228,N
Anita,22096,N
Eila,22058,N
Eija,21761,N
Julia,21748,N
Kirsi,21708,N
Marianne,21522,N
Katriina,20908,N
Merja,20902,N
Matilda,20649,N
Elisabeth,20052,N
Olivia,19974,N
Arja,19953,N
Aurora,19949,N
Anni,19913,N
Ulla,19774,N
Tuulia,19770,N
Marjaana,19662,N
Kaisa,19618,N
Marketta,19492,N
Paula,19485,N
Linnea,19327,N
Elisa,19163,N
Helmi,18395,N
Sirkka,18339,N
Terttu,18328,N
Jenni,18019,N
Iida,17157,N
Katja,17073,N
Emma,16977,N
Heli,16530,N
Mirjami,16256,N
Nina,15954,N
Kirsti,15503,N
Anniina,15263,N
Maaria,15259,N
Hilkka,15254,N
Mirja,15242,N
Raili,14776,N
Birgitta,14716,N
Sara,14700,N
Katri,14498,N
Ella,14190,N
Ida,14153,N
Suvi,13957,N
Aleksandra,13821,N
Kaija,13720,N
Riikka,13509,N
Marjut,13468,N
Anu,13437,N
Alexandra,13259,N
Tuija,13021,N
Saara,12870,N
Niina,12413,N
Pia,12307,N
Kerttu,12250,N
Lea,12154,N
Aila,11987,N
Kristina,11948,N
Noora,11814,N
Marjo,11657,N
Irma,11635,N
Jenna,11580,N
Tanja,11557,N
Leila,11539,N
Marja-Leena,11386,N
Henna,11344,N
Veera,11321,N
Lotta,11231,N
Ellen,11075,N
Kati,11044,N
Aulikki,10977,N
Margareta,10866,N
Irja,10848,N
Elsa,10497,N
Elli,10438,N
Alina,10432,N
Hellevi,10423,N
Marja-Liisa,10382,N
Maritta,10212,N
Outi,10150,N
Milla,10079,N
Emmi,9989,N
Mirjam,9966,N
Taina,9797,N
Mervi,9761,N
Päivikki,9726,N
Miia,9709,N
Venla,9689,N
Erika,9572,N
Aada,9495,N
Siiri,9491,N
Helinä,9489,N
Virpi,9471,N
Anna-Liisa,9447,N
Sini,9251,N
Jonna,9238,N
Vilhelmiina,9233,N
Tiia,8988,N
Sonja,8921,N
Margit,8843,N
Josefiina,8398,N
Jasmin,8362,N
Sanni,8273,N
Aune,8160,N
Oona,8102,N
Vilma,8089,N
Lilja,8059,N
Alisa,8028,N
Terhi,7943,N
Mia,7935,N
Linda,7795,N
Mira,7715,N
Roosa,7546,N
Nea,7414,N
Teija,7295,N
Maire,7227,N
Eliisa,7187,N
Essi,7170,N
Viivi,7138,N
Martta,7125,N
Carita,6984,N
Christina,6952,N
Piia,6944,N
Iiris,6868,N
Esteri,6778,N
Hillevi,6722,N
Taru,6680,N
Marjukka,6628,N
Airi,6623,N
Viola,6597,N
Iina,6588,N
Petra,6583,N
Krista,6581,N
Tuuli,6553,N
Marie,6516,N
Juulia,6493,N
Annukka,6396,N
Eva,6312,N
Vuokko,6296,N
Mikaela,6281,N
Silja,6266,N
Isabella,6246,N
Enni,6176,N
Inka,6163,N
Aili,6147,N
Henriikka,5991,N
Jenny,5962,N
Salla,5923,N
Aliisa,5852,N
Susanne,5812,N
Pinja,5789,N
Milja,5785,N
Riina,5746,N
Erja,5725,N
Camilla,5713,N
Helvi,5655,N
Katarina,5593,N
Sylvia,5500,N
Onerva,5499,N
Ronja,5476,N
Reetta,5440,N
Lyydia,5363,N
Elena,5316,N
Eevi,5278,N
Alice,5188,N
Eerika,5163,N
Elise,5120,N
Jessica,5044,N
Ester,4896,N
Meri,4863,N
Anitta,4853,N
Maija-Liisa,4829,N
Minttu,4808,N
Cecilia,4795,N
Soile,4790,N
Amalia,4767,N
Elvi,4750,N
Salme,4688,N
Saana,4637,N
Meeri,4631,N
Toini,4599,N
Asta,4586,N
Talvikki,4437,N
Pihla,4416,N
Hilja,4401,N
Nelli,4380,N
Minea,4318,N
Maaret,4307,N
Lumi,4267,N
Auli,4257,N
Lahja,4233,N
Irina,4227,N
Aira,4217,N
Laila,4204,N
Ada,4202,N
Sirkka-Liisa,4117,N
Janina,4091,N
Maiju,4081,N
Elviira,4071,N
Alma,4060,N
Taimi,4053,N
Armi,4038,N
Rauha,4033,N
Kaisu,4030,N
Olga,3987,N
Marina,3983,N
Saija,3973,N
Adele,3936,N
Heleena,3929,N
Marianna,3892,N
Heini,3864,N
Charlotta,3858,N
Nella,3836,N
Rauni,3776,N
Anette,3750,N
Eira,3737,N
Hilma,3711,N
Hilla,3679,N
Karin,3564,N
Sylvi,3550,N
Sirkku,3542,N
Hilda,3540,N
Aava,3518,N
Josefina,3505,N
Matleena,3499,N
Neea,3494,N
Wilhelmiina,3372,N
Joanna,3372,N
Ingeborg,3312,N
Senja,3285,N
Jemina,3285,N
Rosa,3258,N
Isla,3250,N
Iris,3245,N
Anna-Maija,3231,N
Oili,3225,N
Peppi,3205,N
Mirva,3203,N
Eeva-Liisa,3198,N
Mila,3186,N
Vappu,3181,N
Tytti,3161,N
Victoria,3153,N
Birgit,3146,N
Helmiina,3139,N
Saga,3123,N
Saimi,3101,N
Vieno,3051,N
Janika,3026,N
Loviisa,2980,N
Eliina,2971,N
Monica,2948,N
Soili,2918,N
Sanelma,2903,N
Alli,2895,N
Natalia,2885,N
Linnéa,2870,N
Fanny,2860,N
Astrid,2856,N
Maila,2844,N
Janette,2844,N
Annina,2817,N
Tyyne,2813,N
Jutta,2796,N
Stella,2659,N
Inari,2648,N
Anelma,2647,N
Teresa,2623,N
Aini,2621,N
Vilja,2611,N
Kiia,2611,N
Tea,2608,N
Anne-Mari,2599,N
Fanni,2596,N
Netta,2592,N
Janita,2584,N
Sandra,2584,N
Edith,2563,N
Ingrid,2561,N
Vanessa,2550,N
Piritta,2540,N
Karita,2485,N
Mirka,2478,N
Regina,2475,N
Selma,2473,N
Mona,2443,N
Daniela,2417,N
Raakel,2416,N
Helka,2415,N
Nora,2406,N
Lydia,2385,N
Inga,2383,N
Elma,2375,N
Senni,2342,N
Ulrika,2318,N
Isabel,2310,N
Ulla-Maija,2300,N
Jade,2299,N
Anna-Maria,2297,N
Virve,2297,N
Louise,2285,N
Hertta,2268,N
Saila,2252,N
Mimosa,2246,N
Lilli,2232,N
Eine,2231,N
Lilian,2228,N
Melissa,2224,N
Aija,2216,N
Anastasia,2207,N
Unelma,2197,N
Margaretha,2192,N
Gunilla,2191,N
Lempi,2190,N
Annele,2182,N
Aliina,2161,N
Wilma,2105,N
Heta,2084,N
Christine,2072,N
Rita,2061,N
Elsi,2049,N
Vera,2047,N
Hanne,2046,N
Carolina,2037,N
Frida,2014,N
Sofie,2012,N
Liina,2010,N
Erica,1995,N
Rebekka,1989,N
Adalmiina,1984,N
Taija,1983,N
Tuire,1982,N
Minja,1978,N
Melina,1964,N
Carola,1960,N
Varpu,1944,N
Lisa,1942,N
Monika,1915,N
Reeta,1909,N
Amelia,1904,N
Carina,1891,N
Maisa,1887,N
Moona,1882,N
Iisa,1878,N
Mette,1864,N
Heljä,1857,N
Helli,1854,N
Salli,1849,N
Solveig,1839,N
Patricia,1836,N
Seela,1830,N
Reija,1822,N
Vivian,1822,N
Eini,1819,N
Karolina,1814,N
Tilda,1807,N
Elin,1800,N
Helga,1794,N
Riitta-Liisa,1779,N
Susan,1771,N
Mariia,1770,N
Charlotte,1768,N
Miina,1768,N
Brita,1758,N
Janna,1752,N
Säde,1752,N
Mirella,1747,N
Lena,1742,N
Hellin,1737,N
Kaisla,1735,N
Henrietta,1721,N
Viktoria,1719,N
Inger,1707,N
Kia,1683,N
Selina,1682,N
Anna-Kaisa,1672,N
Elle,1650,N
Taika,1641,N
Kerstin,1637,N
Marleena,1635,N
Aura,1630,N
Harriet,1625,N
Marja-Terttu,1620,N
Sointu,1618,N
Jasmine,1618,N
Miisa,1606,N
Titta,1603,N
Pirita,1582,N
Helene,1544,N
Valpuri,1540,N
Kiira,1540,N
Ninni,1539,N
Saima,1539,N
Jasmiina,1539,N
Lyyli,1512,N
Stina,1508,N
Laina,1503,N
Wilhelmina,1502,N
Raisa,1494,N
Annette,1484,N
Rebecca,1472,N
Ira,1467,N
Veronica,1456,N
Ursula,1445,N
Leea,1441,N
Tuovi,1440,N
Elvira,1440,N
Else,1432,N
Pilvi,1431,N
Greta,1428,N
Helen,1424,N
Martina,1414,N
Erin,1413,N
Ingegerd,1413,N
Kirsi-Marja,1410,N
Tia,1405,N
Eleonora,1400,N
Saaga,1397,N
Diana,1394,N
Justiina,1389,N
Enna,1388,N
Mariitta,1386,N
Anna-Mari,1371,N
Iines,1370,N
Kanerva,1367,N
Siviä,1361,N
Eleonoora,1357,N
Mea,1350,N
Marja-Riitta,1339,N
Benita,1336,N
Rakel,1331,N
Thi,1326,N
Siru,1320,N
Yvonne,1315,N
Terhikki,1311,N
Evelina,1310,N
Henni,1310,N
Agneta,1309,N
Berit,1307,N
Lovisa,1295,N
Lumia,1289,N
Hanna-Leena,1286,N
Beatrice,1277,N
Ava,1264,N
Fredrika,1260,N
Hanna-Mari,1259,N
Barbro,1258,N
Ann-Mari,1251,N
Amelie,1244,N
Magdalena,1237,N
Anna-Leena,1236,N
Henrika,1234,N
Hely,1228,N
Elizabeth,1222,N
Anne-Maria,1220,N
Janica,1213,N
Juuli,1213,N
Inna,1211,N
Neela,1202,N
Iita,1202,N
Malin,1199,N
Mailis,1191,N
Siv,1190,N
Lina,1188,N
Tina,1185,N
Valma,1183,N
Aida,1176,N
Madeleine,1174,N
Fiona,1173,N
Raila,1167,N
Liisi,1164,N
Kaarin,1161,N
Maj-Britt,1150,N
Mathilda,1149,N
Ann,1149,N
Alva,1143,N
Svetlana,1137,N
Kirsikka,1137,N
Sohvi,1136,N
Luna,1133,N
Caroline,1126,N
Adeliina,1121,N
Anne-Marie,1119,N
Sarita,1110,N
Sarah,1106,N
Valentina,1106,N
Aurelia,1105,N
Vanamo,1102,N
Miranda,1100,N
Serafiina,1090,N
Aamu,1089,N
Felicia,1082,N
Marjo-Riitta,1082,N
Peppiina,1081,N
Pirkko-Liisa,1080,N
Auroora,1077,N
Mariella,1073,N
Tinja,1071,N
Bertta,1067,N
Lilia,1066,N
Milka,1066,N
Paulina,1059,N
Nanna,1057,N
Vellamo,1057,N
Ebba,1051,N
Virva,1050,N
Michaela,1044,N
Edit,1043,N
Riia,1043,N
Kira,1038,N
Natalie,1031,N
Milena,1028,N
Sabina,1026,N
Mimmi,1009,N
Mohamed,993,N
Tessa,991,N
Silvia,990,N
Sanna-Mari,990,N
Elna,984,N
Ansa,984,N
Alissa,983,N
Maija-Leena,979,N
Livia,977,N
Ellinoora,974,N
Gunvor,968,N
Annamari,967,N
Tatiana,965,N
Teresia,965,N
Miriam,956,N
Sophie,956,N
Janni,951,N
Verna,947,N
Ruut,947,N
Sofi,946,N
Vilhelmina,942,N
Marlene,941,N
Ruth,940,N
Signe,937,N
Isa,937,N
Beata,936,N
Nadja,932,N
Gunnel,930,N
Lila,928,N
Gun,923,N
Ines,918,N
Nicole,916,N
Maarika,916,N
Margareetta,914,N
Åsa,912,N
Annu,898,N
Juliaana,897,N
Kerttuli,896,N
Nelly,893,N
Unna,886,N
Meea,885,N
Hanna-Kaisa,885,N
Jennifer,884,N
Minka,881,N
Veronika,880,N
Sophia,875,N
Suoma,875,N
Julianna,871,N
Katrina,869,N
Juliana,865,N
Claudia,862,N
Viena,860,N
Stiina,855,N
Jatta,852,N
Elea,852,N
Nuppu,852,N
Emily,850,N
Jessika,850,N
Pipsa,849,N
Annastiina,836,N
Margareeta,830,N
Agnes,830,N
Aina,829,N
Maj-Lis,828,N
Maya,827,N
Emelie,820,N
Ilmi,818,N
Micaela,816,N
Ina,815,N
Minni,815,N
Nita,811,N
Lemmikki,811,N
Lisbeth,811,N
Michelle,809,N
Malla,807,N
Angelica,799,N
Bettina,798,N
Rea,796,N
Melinda,796,N
Minerva,793,N
Doris,790,N
Kielo,790,N
Annikka,788,N
Alicia,787,N
Tatjana,784,N
Mary,774,N
Ekaterina,771,N
Lucia,771,N
Josefin,756,N
Kastehelmi,754,N
Synnöve,752,N
Bea,748,N
Soilikki,739,N
Gabriella,738,N
Nathalie,737,N
Ida-Maria,732,N
Mirkka,731,N
Kukka,730,N
Kukka-Maaria,729,N
Maj,722,N
Merita,720,N
Eedit,720,N
Jasmina,720,N
Britta,720,N
Andrea,716,N
Adelina,713,N
Impi,711,N
Dagmar,710,N
Serafia,708,N
Josefine,708,N
Christel,704,N
Jeanette,703,N
Catharina,700,N
Tove,699,N
Ilse,697,N
Edla,692,N
Lily,692,N
Mai,689,N
Emilie,688,N
Hanna-Maria,687,N
Christa,687,N
Rose,686,N
Siri,679,N
Selja,679,N
Mariel,677,N
Tamara,671,N
Emmiina,670,N
Jane,669,N
Saini,668,N
Leona,668,N
Isabelle,665,N
Rosita,664,N
Marju,661,N
Rosanna,657,N
Ann-Marie,651,N
Eeva-Maria,650,N
Sigrid,645,N
Rebecka,643,N
Ahmed,643,N
Viveka,641,N
Eivor,641,N
Therese,641,N
Linn,639,N
Adelia,639,N
Antonia,636,N
Pirjo-Riitta,635,N
Eve,634,N
Tara,633,N
Adessa,633,N
Elmiina,633,N
Marian,631,N
Anne-Maj,631,N
Larissa,626,N
Milana,621,N
Terese,620,N
Ria,618,N
Anna-Sofia,616,N
Kaino,615,N
Sarianna,615,N
Ramona,610,N
Angelina,607,N
Jelena,606,N
Jenniina,603,N
Cristina,602,N
Jannika,597,N
Siina,595,N
Catarina,595,N
Fiia,593,N
Ottilia,592,N
Ritva-Liisa,588,N
Anne-Maarit,588,N
Sinna,585,N
Eriika,584,N
Lili,582,N
Iida-Maria,579,N
Ireene,579,N
Briitta,578,N
Galina,575,N
Mariana,574,N
Noomi,571,N
My,569,N
Lara,567,N
Silva,560,N
Marit,558,N
Magdaleena,558,N
Hellä,556,N
Susann,554,N
Lenita,553,N
Henna-Riikka,546,N
Bella,542,N
Pirjo-Liisa,541,N
Eija-Liisa,537,N
Karina,535,N
Sirja,535,N
Annemari,532,N
Svea,530,N
Augusta,529,N
Serafina,527,N
Angela,525,N
Viveca,523,N
Hulda,523,N
Kristine,522,N
Inga-Lill,520,N
Ruusu,520,N
Ali,518,N
Tua,514,N
Liinu,514,N
Märta,508,N
Yasmin,507,N
Ulpu,504,N
Ulriikka,504,N
Sade,502,N
Alise,501,N
Pernilla,501,N
Ilta,499,N
Soila,498,N
Marikki,495,N
Amina,494,N
Sani,492,N
Eeva-Maija,491,N
Ann-Christine,490,N
Sanna-Kaisa,487,N
Kreetta,486,N
Margaret,486,N
Lidia,482,N
Meiju,479,N
Marissa,478,N
Pamela,478,N
Sanna-Maria,477,N
May,474,N
Ellinor,470,N
Hanneli,470,N
Mari-Anne,469,N
Clara,469,N
Lisbet,469,N
Teea,461,N
Else-Maj,458,N
Roosa-Maria,456,N
Karla,455,N
Nana,451,N
Maja,450,N
Mariam,449,N
Cassandra,449,N
Valeria,449,N
Mariaana,448,N
Assi,446,N
Aleksiina,445,N
Hannamari,444,N
Maili,443,N
Louna,442,N
Estelle,440,N
Annica,440,N
Aallotar,439,N
Carmen,439,N
Usva,436,N
Petriina,434,N
Margita,431,N
Ingegärd,430,N
Evelyn,430,N
Mandi,429,N
Moa,427,N
Angelika,425,N
Samira,425,N
Fatima,424,N
Margarita,424,N
Hannah,423,N
Jadessa,422,N
Lumina,421,N
Ann-Christin,421,N
Abdi,420,N
Tuulevi,418,N
Bianca,415,N
Catherine,414,N
Alexsandra,413,N
Gun-Britt,413,N
Evelin,412,N
Riika,410,N
Gabriela,410,N
Marjanne,410,N
Aisha,409,N
Leeni,409,N
Kamilla,408,N
Hedvig,404,N
Vivi,404,N
Meri-Tuuli,402,N
Marica,400,N
Naomi,399,N
Annie,399,N
Lumikki,398,N
Britt-Marie,398,N
Klaudia,397,N
Iitu,394,N
Anna-Lisa,394,N
Kreeta,394,N
Mariela,394,N
Katrin,393,N
Esther,393,N
Henriika,393,N
Theresa,392,N
Nenna,391,N
Odessa,391,N
Gunhild,390,N
Mariann,390,N
Katharina,390,N
Hanna-Maija,389,N
Eden,387,N
Kirsi-Maria,386,N
Britt,385,N
Rianna,385,N
Hellen,384,N
Ann-Sofi,382,N
Kristin,381,N
Tiia-Maria,381,N
Filippa,377,N
Ruusa,376,N
Sarianne,376,N
Miira,375,N
Maj-Len,375,N
Lauriina,374,N
Jarna,374,N
Jennika,373,N
Mirja-Liisa,373,N
Kustaava,367,N
Sabrina,367,N
Hassan,366,N
Merituuli,366,N
Lilly,365,N
Hilppa,365,N
Lia,364,N
Gretel,364,N
Vaula,364,N
Josephine,363,N
Ninja,363,N
Erna,363,N
Ulriika,362,N
Barbara,360,N
Minna-Liisa,360,N
Leena-Maija,360,N
Raija-Liisa,359,N
Carla,359,N
Freja,358,N
Melisa,357,N
Sonia,355,N
Adéle,353,N
Ainikki,352,N
Evita,351,N
Desiree,351,N
Grace,351,N
Mielikki,351,N
Alexia,348,N
Raita,348,N
Annabella,346,N
Sofianna,346,N
Armiida,345,N
Anri,344,N
Rut,343,N
Hillervo,342,N
Amira,341,N
Valborg,340,N
Rosa-Maria,338,N
Thea,338,N
Susa,338,N
Klara,338,N
Gerd,336,N
Ann-Sofie,335,N
Kajsa,335,N
Lemmitty,332,N
Jenina,332,N
Jessi,332,N
Illusia,329,N
Sanja,328,N
Evelia,328,N
Suvi-Tuuli,327,N
Ilma,327,N
Nadia,327,N
Eriikka,325,N
Ethel,325,N
Evi,324,N
Eva-Maria,323,N
Adalmina,323,N
Göta,321,N
Aniitta,321,N
Liia,321,N
Maia,320,N
Henriette,320,N
Adina,320,N
Ann-Charlotte,318,N
Miila,318,N
Auri,317,N
Eeva-Leena,317,N
Maikki,316,N
Selena,316,N
Sienna,316,N
Marisa,316,N
Denise,316,N
Ylva,315,N
Ragnhild,312,N
Alessia,312,N
Maryam,312,N
Anna-Lena,311,N
Margetta,311,N
Natasha,310,N
Gertrud,309,N
Zahra,309,N
Aino-Maria,308,N
Arja-Liisa,308,N
Lyyti,306,N
Anna-Kaarina,305,N
Eeva-Kaisa,305,N
Eeva-Riitta,303,N
Elmi,303,N
Daria,302,N
Salma,301,N
Petronella,301,N
Karelia,300,N
Annaliisa,299,N
Malviina,299,N
Emelia,298,N
Nette,298,N
Klaara,298,N
Celina,298,N
Janniina,297,N
Abdullahi,297,N
Maija-Riitta,297,N
Salla-Mari,296,N
Marke,296,N
Auni,296,N
Pauline,296,N
Annamaria,295,N
Minnea,294,N
Hildegard,294,N
Ksenia,293,N
Maini,292,N
Lotte,292,N
Caroliina,291,N
Theresia,290,N
Marie-Louise,290,N
Disa,290,N
Hanna-Riikka,289,N
Suvi-Tuulia,289,N
Jennie,288,N
Janet,287,N
Lillemor,287,N
Jannica,287,N
Hanna-Liisa,287,N
Sissi,287,N
Judith,286,N
Tiiu,286,N
Laimi,285,N
Anna-Riitta,284,N
Jolanda,284,N
Hanni,283,N
Elli-Noora,283,N
Anna-Riikka,283,N
Mariina,283,N
Isabell,282,N
Pieta,282,N
Rose-Marie,282,N
Leonora,282,N
Myy,282,N
Gunborg,281,N
Seidi,281,N
Marietta,281,N
Eleanor,281,N
Alviina,278,N
Kaija-Leena,278,N
Arla,276,N
Hjördis,276,N
Simone,273,N
Dina,273,N
Martha,273,N
Arja-Leena,272,N
Marion,271,N
Kim,271,N
Ann-Kristin,271,N
Stephanie,271,N
Belinda,269,N
Armida,269,N
Rosaliina,267,N
Clarissa,267,N
Ninna,266,N
Sirke,266,N
Melanie,266,N
Salome,265,N
Eeva-Kaarina,265,N
Ngoc,264,N
Karola,263,N
Julie,262,N
Desiré,262,N
Telma,262,N
Nancy,261,N
Meimi,260,N
Anastacia,259,N
Adriana,259,N
Annakaisa,259,N
Aino-Maija,258,N
Tilde,257,N
Molly,255,N
Tekla,254,N
Estella,253,N
Ulrica,252,N
Ilmatar,252,N
Sirpa-Liisa,251,N
Hellikki,250,N
Fia,249,N
Juliet,249,N
Etel,249,N
Malena,247,N
Solja,247,N
Minna-Maria,246,N
Larisa,244,N
Leni,243,N
Tinka,243,N
Sally,242,N
Ingela,241,N
Kaija-Liisa,241,N
Emmy,241,N
Gunnevi,240,N
Sannamari,240,N
Alessandra,239,N
Riitta-Leena,239,N
Viliina,239,N
Liana,239,N
Pia-Maria,239,N
Annamaija,238,N
Helle,238,N
Jana,238,N
Desirée,237,N
Karen,237,N
Bodil,236,N
Severiina,236,N
Pirjetta,236,N
Esmeralda,236,N
Noona,235,N
Margot,235,N
Ann-Louise,235,N
Valdine,234,N
Gudrun,233,N
Sanna-Maija,232,N
Ingalill,232,N
Ann-Britt,232,N
Vadelma,231,N
Anitra,231,N
Merja-Liisa,231,N
Thuy,231,N
Antonina,230,N
Marta,229,N
Reea,228,N
Nicola,228,N
Ulla-Riitta,228,N
Kristel,227,N
Alexa,227,N
Bernice,227,N
Meri-Tuulia,227,N
Manta,226,N
Rachel,225,N
Ariel,225,N
Amy,224,N
Heidi-Maria,224,N
Katerina,224,N
Christin,224,N
Pilvikki,224,N
Vivan,223,N
Adolfiina,223,N
Iia,223,N
Nadezda,222,N
Gurli,221,N
Majlis,221,N
Piitu,219,N
Anne-Maija,217,N
Ani,217,N
Tindra,217,N
Venny,217,N
Tia-Maria,217,N
Viia,216,N
Polina,216,N
Milma,215,N
Li,215,N
Liv,215,N
Alla,214,N
Mimi,214,N
Mercedes,214,N
Yasmine,213,N
Rosalia,213,N
Annabel,213,N
Carin,213,N
Cindy,211,N
Sallamari,211,N
Ana,211,N
Liudmila,211,N
Daniella,211,N
Tarleena,211,N
Suvituuli,210,N
Bettiina,210,N
Satu-Maarit,210,N
Sina,208,N
Thanh,208,N
Ella-Maria,208,N
Judit,207,N
Seliina,207,N
Mei,206,N
Eija-Riitta,206,N
Sanna-Leena,205,N
Betty,204,N
Marija,204,N
Maria-Liisa,204,N
Anni-Maria,204,N
Kiti,204,N
